Stock,Model,D1,D2,D3,D4,D5
ABB.NS,CNN,5088.38,5071.85,5056.27,5037.66,5025.65
ABB.NS,LSTM_GRU,5137.48,5130.7,5125.18,5119.8,5114.46
ABB.NS,Transformer,5016.57,5015.46,5014.26,5011.43,5009.89
APOLLOHOSP.NS,CNN,6993.44,6973.1,6959.17,6930.05,6920.54
APOLLOHOSP.NS,LSTM_GRU,7017.65,7002.56,6988.25,6972.94,6956.71
APOLLOHOSP.NS,Transformer,7020.36,7013.9,7006.1,6998.73,6991.76
ASTRAL.NS,CNN,1388.18,1386.07,1384.07,1380.62,1375.91
ASTRAL.NS,LSTM_GRU,1388.23,1385.3,1384.57,1384.53,1384.86
ASTRAL.NS,Transformer,1411.32,1410.69,1410.08,1409.23,1408.52
COFORGE.NS,CNN,1714.9,1696.22,1685.05,1675.61,1657.95
COFORGE.NS,LSTM_GRU,1681.64,1668.12,1657.74,1648.46,1640.08
COFORGE.NS,Transformer,1807.08,1807.63,1806.73,1806.05,1806.31
DEEPAKNTR.NS,CNN,1736.11,1741.22,1743.9,1743.44,1745.43
DEEPAKNTR.NS,LSTM_GRU,1747.34,1754.13,1759.79,1764.59,1768.67
DEEPAKNTR.NS,Transformer,1623.48,1621.87,1620.14,1618.5,1617.03
DIXON.NS,CNN,12293.62,12225.48,12091.89,12062.4,11991.56
DIXON.NS,LSTM_GRU,12127.89,12028.74,11962.8,11906.73,11857.33
DIXON.NS,Transformer,14220.63,14177.15,14136.4,14100.49,14073.33
PERSISTENT.NS,CNN,6210.96,6177.31,6149.44,6115.63,6086.21
PERSISTENT.NS,LSTM_GRU,6210.81,6184.5,6160.94,6137.16,6113.26
PERSISTENT.NS,Transformer,6147.33,6149.12,6146.36,6142.91,6140.4
